,School_ID,Zip,Ethnic_Minority_Percentage,Low_Income_Percentage,Special_Ed_Percentage,English_Learners_Percentage,College_Enrollment_Rate_School
144,609734,60631,0.5666192508297772,0.5052157420578474,0.12256993835941205,0.18634423897581792,75.3
149,609764,60608,0.983670803396473,0.8954931417374266,0.14239059438275636,0.36642717178314826,57.9
152,400128,60623,0.9846153846153847,0.8153846153846154,0.24615384615384617,0.015384615384615385,7.1
159,400086,60621,1.0,0.865979381443299,0.2268041237113402,0.020618556701030927,50.0
177,610547,60649,0.9946996466431095,0.7791519434628975,0.12014134275618374,0.014134275618374558,73.7
178,609679,60639,0.9828767123287672,0.877568493150685,0.1558219178082192,0.22945205479452055,71.5
189,400137,60653,1.0,0.7922077922077922,0.15584415584415584,0.0,32.1
190,400035,60626,0.9384116693679092,0.8719611021069692,0.0940032414910859,0.39222042139384117,62.5
191,400125,60641,0.9846938775510204,0.7346938775510204,0.16326530612244897,0.37755102040816324,11.3
196,400106,60621,0.9934782608695653,0.9065217391304348,0.21739130434782608,0.010869565217391304,62.1
201,609694,60638,0.9241245136186771,0.6634241245136187,0.057392996108949414,0.03988326848249027,73.2
202,400126,60651,0.9887640449438202,0.6629213483146067,0.16853932584269662,0.16853932584269662,8.0
207,609750,60608,1.0,0.8181818181818182,0.22727272727272727,0.18181818181818182,27.3
208,609678,60605,0.6843177189409368,0.3981670061099796,0.09012219959266803,0.03004073319755601,88.3
215,609733,60626,0.8442280945757997,0.7677329624478443,0.20584144645340752,0.5285118219749653,60.9
222,609674,60617,0.9791304347826087,0.8139130434782609,0.3217391304347826,0.029565217391304348,28.7
225,609737,60625,0.8281437125748503,0.6311377245508982,0.07005988023952096,0.12694610778443113,77.2
231,610402,60640,0.8854961832061069,0.7022900763358778,0.04580152671755725,0.061068702290076333,76.9
232,610543,60632,0.990204081632653,0.9020408163265307,0.11755102040816326,0.27755102040816326,68.9
234,400123,60644,0.9819819819819819,0.7387387387387387,0.18018018018018017,0.0,12.1
237,609756,60632,0.9872808525266414,0.8401512547267103,0.11034719834994844,0.27466483327603985,64.9
238,609740,60622,0.8507462686567164,0.6626865671641791,0.1791044776119403,0.3611940298507463,47.0
250,400124,60616,0.9782608695652174,0.7717391304347826,0.25,0.010869565217391304,14.9
257,609755,60607,0.7592425608656447,0.35482416591523896,0.09873760144274121,0.02254283137962128,88.3
268,609749,60625,0.616650532429816,0.3601161665053243,0.11616650532429816,0.030009680542110357,93.2
272,609716,60639,0.9789915966386554,0.8130252100840336,0.19117647058823528,0.4495798319327731,40.0
274,609705,60628,0.9902912621359223,0.8349514563106796,0.24757281553398058,0.014563106796116505,35.1
280,609719,60613,0.9138176638176638,0.7692307692307693,0.15954415954415954,0.21225071225071226,66.9
283,609708,60641,0.9584026622296173,0.8086522462562395,0.19966722129783693,0.46589018302828616,50.0
285,609713,60637,0.9913473423980222,0.9035846724351051,0.18170580964153277,0.013597033374536464,52.4
297,400130,60620,1.0,0.6582278481012658,0.24050632911392406,0.05063291139240506,12.5
298,400061,60620,0.9976019184652278,0.8669064748201439,0.145083932853717,0.002398081534772182,36.2
307,609753,60655,0.7614080834419817,0.49934810951760106,0.23598435462842243,0.04302477183833116,67.1
311,609725,60643,0.9870912220309811,0.7487091222030982,0.14457831325301204,0.00946643717728055,59.8
314,609718,60638,0.8772813089993706,0.6419131529263687,0.19509125235997482,0.19383259911894274,70.8
319,610518,60644,1.0,0.7380952380952381,0.23809523809523808,0.023809523809523808,30.0
321,609710,60628,1.0,0.8557213930348259,0.17412935323383086,0.04975124378109453,30.6
327,400118,60624,0.9972527472527473,0.8131868131868132,0.2664835164835165,0.005494505494505495,55.6
332,609676,60616,0.9945945945945946,0.8864864864864865,0.22972972972972974,0.016216216216216217,38.9
340,400058,60623,0.9936507936507937,0.9206349206349206,0.2698412698412698,0.006349206349206349,66.7
341,400170,60610,0.982725527831094,0.8119001919385797,0.1381957773512476,0.18618042226487524,79.8
342,400172,60618,0.9839034205231388,0.8309859154929577,0.23742454728370221,0.482897384305835,37.9
346,610529,60642,0.862475442043222,0.6856581532416502,0.10609037328094302,0.09430255402750491,81.5
349,400156,60628,0.9968553459119497,0.8757861635220126,0.17452830188679244,0.025157232704402517,62.5
352,400032,60620,1.0,0.8227272727272728,0.21363636363636362,0.00909090909090909,41.4
356,609720,60618,0.5680460278822749,0.3644611639743306,0.09139190086302279,0.026997123257357824,89.5
357,400144,60651,0.9836065573770492,0.7704918032786885,0.22950819672131148,0.03278688524590164,14.1
361,400169,60639,0.9871677360219981,0.8854262144821264,0.14115490375802017,0.3235563703024748,83.1
364,400121,60645,0.9760479041916168,0.8283433133732535,0.18163672654690619,0.4151696606786427,57.7
366,609723,60624,1.0,0.8392857142857143,0.30952380952380953,0.011904761904761904,38.6
370,400091,60608,0.9923469387755102,0.9209183673469388,0.21683673469387754,0.05612244897959184,31.1
